epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.236,1.42118,1.61788,1.13442,0.83432,0.73428,0.80958,0.48774,1.1871,0.85499,0.98397,0.00332912,0.00332912,0.00332912
2,250.003,1.27419,0.95907,1.06804,0.82857,0.75594,0.82302,0.50851,1.13261,0.8091,0.97266,0.00659649,0.00659649,0.00659649
3,369.416,1.30415,0.93834,1.08296,0.81051,0.72313,0.79596,0.48487,1.19826,0.83532,1.00538,0.00979787,0.00979787,0.00979787
4,486.796,1.31561,0.90584,1.09538,0.84061,0.76719,0.83102,0.50673,1.1701,0.74406,0.99722,0.009703,0.009703,0.009703
5,604.459,1.26464,0.83385,1.07491,0.8179,0.77991,0.84149,0.52659,1.16626,0.72076,1.00707,0.009604,0.009604,0.009604
6,722.577,1.22257,0.77561,1.05736,0.83965,0.7834,0.85553,0.54457,1.11943,0.66967,0.98012,0.009505,0.009505,0.009505
7,841.061,1.18612,0.73725,1.04742,0.85655,0.7996,0.86727,0.55714,1.10616,0.63907,0.97918,0.009406,0.009406,0.009406
8,958.905,1.16657,0.7128,1.04054,0.88937,0.77988,0.86819,0.52864,1.20955,0.65441,1.02258,0.009307,0.009307,0.009307
9,1075.12,1.13798,0.68872,1.02797,0.85957,0.81063,0.86543,0.55867,1.077,0.62348,0.97422,0.009208,0.009208,0.009208
10,1192.82,1.12225,0.67257,1.02287,0.88819,0.80061,0.86849,0.5626,1.07322,0.60446,0.96659,0.009109,0.009109,0.009109
11,1312.68,1.10055,0.65481,1.01501,0.86799,0.81859,0.8843,0.57626,1.06926,0.58451,0.97374,0.00901,0.00901,0.00901
12,1432.24,1.08565,0.63607,1.00805,0.87358,0.82699,0.88116,0.57429,1.06074,0.57813,0.96927,0.008911,0.008911,0.008911
13,1553.43,1.0677,0.6277,1.00115,0.88408,0.81516,0.8851,0.57645,1.05933,0.58823,0.96266,0.008812,0.008812,0.008812
14,1674.05,1.05362,0.60987,0.99563,0.8987,0.81001,0.88174,0.5804,1.05463,0.57691,0.96473,0.008713,0.008713,0.008713
15,1789.01,1.03446,0.598,0.99082,0.91076,0.80329,0.88825,0.58335,1.05555,0.55616,0.96636,0.008614,0.008614,0.008614
16,1903.32,1.0257,0.59165,0.98688,0.88801,0.81659,0.88034,0.58715,1.03587,0.56313,0.96673,0.008515,0.008515,0.008515
17,2020.23,1.008,0.57792,0.9786,0.90756,0.8192,0.88652,0.58527,1.04596,0.54132,0.9701,0.008416,0.008416,0.008416
18,2135.07,0.99873,0.56993,0.9767,0.9116,0.81917,0.89556,0.60182,1.01908,0.53984,0.95039,0.008317,0.008317,0.008317
19,2249.68,0.98828,0.56381,0.97576,0.87869,0.82783,0.88549,0.58489,1.05918,0.54721,0.98011,0.008218,0.008218,0.008218
20,2362.63,0.97959,0.55908,0.96966,0.90909,0.81579,0.89063,0.58658,1.04787,0.55171,0.97473,0.008119,0.008119,0.008119
21,2475,0.96753,0.54832,0.96816,0.90964,0.83375,0.89202,0.59009,1.03969,0.53146,0.97627,0.00802,0.00802,0.00802
22,2586.85,0.96301,0.54341,0.96614,0.92181,0.82179,0.8931,0.59975,1.03244,0.52463,0.97704,0.007921,0.007921,0.007921
23,2697.51,0.95531,0.53803,0.96403,0.89349,0.84007,0.90146,0.60039,1.02783,0.51149,0.9703,0.007822,0.007822,0.007822
24,2809.64,0.95116,0.53554,0.95718,0.89147,0.83494,0.89259,0.59639,1.03694,0.5308,0.97253,0.007723,0.007723,0.007723
25,2920.42,0.93713,0.52759,0.95485,0.90896,0.84074,0.89589,0.5991,1.03176,0.51999,0.96843,0.007624,0.007624,0.007624
